data_set,Ants_number,Alpha,Beta,Evaporate_rate,Random_rate,nbr_iterations,cost,time
data/burma14.tsp,4,8.5,4.8,0.86,0.66,9,2967.9352866955687,0.07895445823669434
data/burma14.tsp,6,5.0,1.2,0.28,0.38,3,2921.6372843855597,0.046973228454589844
data/burma14.tsp,6,7.7,6.0,0.06,0.55,6,3213.106544886957,0.06796097755432129
data/burma14.tsp,7,7.6,8.3,0.88,0.6,3,2967.9352866955687,0.034981727600097656
data/burma14.tsp,2,8.4,3.2,0.79,0.73,2,3332.8128808049146,0.005995273590087891
data/burma14.tsp,3,7.8,7.0,0.59,0.52,5,2967.9352866955687,0.02698683738708496
data/burma14.tsp,6,7.4,7.6,0.59,0.78,2,3247.3684996499655,0.024985790252685547
data/burma14.tsp,7,5.0,4.4,0.79,0.83,3,2921.6372843855597,0.06296110153198242
data/burma14.tsp,3,7.6,1.5,0.19,0.94,4,3016.6182628516135,0.01898932456970215
data/burma14.tsp,4,6.7,1.5,0.07,0.26,1,3954.3652661662663,0.006016969680786133
data/burma14.tsp,7,5.6,4.2,0.67,0.57,5,2967.9352866955687,0.06794071197509766
data/burma14.tsp,6,3.5,1.2,0.4,0.21,5,3016.6182628516135,0.058966636657714844
data/burma14.tsp,2,0.5,8.3,0.8,0.79,3,3016.6182628516135,0.009995222091674805
data/burma14.tsp,3,6.3,0.5,0.31,0.9,9,2859.272041389352,0.049973249435424805
data/burma14.tsp,4,8.3,4.0,0.11,0.34,10,2890.892556619956,0.08595061302185059
data/burma14.tsp,6,5.9,1.6,0.29,0.88,10,2925.573023609756,0.15790987014770508
data/burma14.tsp,6,8.9,3.5,0.87,0.67,6,2859.272041389352,0.07495403289794922
data/burma14.tsp,3,7.6,5.7,0.54,0.16,2,3213.106544886957,0.009994268417358398
data/burma14.tsp,4,5.3,0.5,0.47,0.54,8,3016.6182628516135,0.06196451187133789
data/burma14.tsp,7,7.6,9.2,0.81,0.68,6,2925.573023609756,0.11493778228759766
data/burma14.tsp,7,4.8,1.0,0.89,0.82,3,3328.5286433756496,0.06497955322265625
data/burma14.tsp,6,0.4,7.6,0.49,0.5,5,2890.892556619956,0.06094837188720703
data/burma14.tsp,2,2.2,5.9,0.81,0.94,7,3016.6182628516135,0.0219876766204834
data/burma14.tsp,8,9.3,7.3,0.54,0.32,3,3213.106544886957,0.05296635627746582
data/burma14.tsp,6,0.9,2.2,0.78,0.36,2,3025.3778174171957,0.018993139266967773
data/burma14.tsp,7,5.8,5.1,0.27,0.34,4,2890.892556619956,0.07095551490783691
data/burma14.tsp,6,9.3,7.9,0.26,0.37,3,2967.9352866955687,0.03300118446350098
data/burma14.tsp,3,4.1,5.0,0.88,0.83,5,2933.1590942893113,0.024965286254882812
data/burma14.tsp,6,6.8,1.5,0.45,0.15,7,2890.892556619956,0.07997512817382812
data/burma14.tsp,3,6.7,5.6,0.51,0.86,10,3016.6182628516135,0.057947397232055664
data/burma14.tsp,2,6.0,9.0,0.18,0.34,6,2890.892556619956,0.02298593521118164
data/burma14.tsp,8,8.5,1.5,0.92,0.73,7,2927.772886392034,0.1499345302581787
data/burma14.tsp,5,3.0,5.0,0.93,0.49,2,3054.815565192385,0.017989635467529297
data/burma14.tsp,7,2.0,2.1,0.8,0.12,4,3025.3778174171957,0.06296420097351074
data/burma14.tsp,7,0.5,3.7,0.17,0.39,5,2967.9352866955687,0.08694982528686523
data/burma14.tsp,6,3.5,2.8,0.27,0.95,4,3016.6182628516135,0.0439753532409668
data/burma14.tsp,3,1.7,1.6,0.85,0.39,4,2921.6372843855597,0.015990495681762695
data/burma14.tsp,5,3.1,5.6,0.12,0.65,10,2967.9352866955687,0.12291216850280762
data/burma14.tsp,4,0.7,1.5,0.74,0.16,5,2967.9352866955687,0.039977073669433594
data/burma14.tsp,2,5.4,2.5,0.63,0.24,3,3514.865516572165,0.010993719100952148
data/burma14.tsp,5,4.4,0.6,0.92,0.56,7,2948.069305351995,0.07895469665527344
data/burma14.tsp,7,6.7,7.6,0.68,0.12,2,3016.6182628516135,0.03298187255859375
data/burma14.tsp,8,3.5,1.2,0.44,0.8,6,2859.272041389352,0.11293196678161621
data/burma14.tsp,3,0.9,7.8,0.16,0.83,6,2967.9352866955687,0.028983354568481445
data/burma14.tsp,7,4.8,4.6,0.56,0.89,3,3213.106544886957,0.0319819450378418
data/burma14.tsp,7,4.9,5.2,0.88,0.77,3,2967.9352866955687,0.032981157302856445
data/burma14.tsp,8,6.9,7.0,0.84,0.78,1,3967.382435405846,0.03298521041870117
data/burma14.tsp,8,9.4,7.9,0.32,0.33,10,2921.6372843855597,0.17989301681518555
data/burma14.tsp,4,2.9,1.1,0.86,0.06,8,2890.892556619956,0.041975975036621094
data/burma14.tsp,3,8.8,7.0,0.07,0.09,10,2890.892556619956,0.0519711971282959
data/burma14.tsp,8,1.1,4.0,0.92,0.54,6,2933.1590942893113,0.137923002243042
data/burma14.tsp,4,7.5,8.0,0.06,0.76,8,2890.892556619956,0.07599496841430664
data/burma14.tsp,3,3.6,2.5,0.53,0.05,10,3025.3778174171957,0.06596207618713379
data/burma14.tsp,7,6.2,1.6,0.26,0.77,3,2859.272041389352,0.0569307804107666
data/burma14.tsp,5,8.4,8.3,0.25,0.16,8,2890.892556619956,0.09396576881408691
data/burma14.tsp,2,2.2,6.7,0.82,0.39,8,2921.6372843855597,0.039968013763427734
data/burma14.tsp,4,6.3,4.1,0.05,0.24,5,2967.9352866955687,0.054959774017333984
data/burma14.tsp,4,6.9,0.1,0.39,0.73,4,2994.9086962587858,0.032975196838378906
data/burma14.tsp,7,1.9,9.5,0.6,0.38,5,2890.892556619956,0.06796121597290039
data/burma14.tsp,2,5.1,9.4,0.6,0.22,3,3025.3778174171957,0.008995532989501953
data/burma14.tsp,3,7.2,3.7,0.64,0.57,9,2890.892556619956,0.05798673629760742
data/burma14.tsp,3,8.0,5.7,0.36,0.6,5,2890.892556619956,0.025984764099121094
data/burma14.tsp,5,0.7,0.2,0.18,0.9,10,2859.272041389352,0.09494614601135254
data/burma14.tsp,8,0.9,9.3,0.9,0.75,4,2890.892556619956,0.06594157218933105
data/burma14.tsp,7,0.6,1.7,0.1,0.19,9,2967.9352866955687,0.14991450309753418
data/burma14.tsp,2,5.9,4.9,0.84,0.19,9,2890.892556619956,0.026984691619873047
data/burma14.tsp,7,0.4,9.1,0.95,0.11,4,3514.865516572165,0.08495116233825684
data/burma14.tsp,7,4.8,7.2,0.08,0.51,6,2967.9352866955687,0.08794951438903809
data/burma14.tsp,6,9.2,8.4,0.73,0.64,8,2890.892556619956,0.09294700622558594
data/burma14.tsp,8,5.6,0.4,0.78,0.88,6,3028.644568359138,0.10194063186645508
data/burma14.tsp,5,7.1,8.1,0.74,0.05,7,2890.892556619956,0.038977622985839844
data/burma14.tsp,4,6.7,6.9,0.61,0.59,3,3232.999392362358,0.0199887752532959
data/burma14.tsp,4,7.6,8.2,0.27,0.55,10,2890.892556619956,0.07495689392089844
data/burma14.tsp,6,9.0,8.9,0.68,0.19,8,3016.6182628516135,0.0959482192993164
data/burma14.tsp,2,9.1,7.2,0.61,0.6,5,2933.1590942893113,0.0179898738861084
data/burma14.tsp,7,5.1,6.4,0.08,0.81,10,2890.892556619956,0.14191913604736328
data/burma14.tsp,5,5.4,7.3,0.79,0.31,9,2859.272041389352,0.11093616485595703
data/burma14.tsp,4,3.2,3.1,0.22,0.9,5,2890.892556619956,0.037978410720825195
data/burma14.tsp,7,5.0,2.3,0.67,0.93,6,2967.9352866955687,0.09694457054138184
data/burma14.tsp,7,2.5,0.9,0.31,0.41,9,2921.6372843855597,0.15690994262695312
data/burma14.tsp,8,4.9,9.2,0.7,0.76,7,2890.892556619956,0.15491151809692383
data/burma14.tsp,8,3.3,1.4,0.74,0.3,2,3025.3778174171957,0.029983043670654297
data/burma14.tsp,3,1.2,3.8,0.95,0.89,5,3129.117167327304,0.026984691619873047
data/burma14.tsp,6,5.3,1.8,0.73,0.15,2,2933.1590942893113,0.022986412048339844
data/burma14.tsp,7,9.4,0.5,0.82,0.7,1,3976.980078641227,0.04097700119018555
data/burma14.tsp,6,5.3,5.8,0.37,0.23,7,2890.892556619956,0.09394550323486328
data/burma14.tsp,7,2.2,5.4,0.85,0.16,2,3016.6182628516135,0.02298736572265625
data/burma14.tsp,6,7.8,1.6,0.42,0.08,1,3213.106544886957,0.013991594314575195
data/burma14.tsp,5,4.9,7.3,0.23,0.63,4,2890.892556619956,0.04697299003601074
data/burma14.tsp,3,7.3,3.1,0.33,0.19,8,2890.892556619956,0.05596804618835449
data/burma14.tsp,5,0.7,6.3,0.22,0.05,4,2890.892556619956,0.043974876403808594
data/burma14.tsp,8,6.3,1.3,0.63,0.72,4,2859.272041389352,0.07395792007446289
data/burma14.tsp,2,6.7,8.0,0.49,0.85,5,3016.6182628516135,0.017989635467529297
data/burma14.tsp,8,0.1,1.7,0.32,0.91,2,3332.8128808049146,0.06096529960632324
data/burma14.tsp,4,5.5,3.9,0.15,0.52,4,3054.815565192385,0.043975114822387695
data/burma14.tsp,4,1.8,9.1,0.5,0.88,6,2890.892556619956,0.04397416114807129
data/burma14.tsp,3,1.5,1.6,0.25,0.63,7,2933.1590942893113,0.046973228454589844
data/burma14.tsp,4,7.9,8.3,0.33,0.17,7,2890.892556619956,0.049971818923950195
data/burma14.tsp,5,5.4,9.2,0.5,0.79,7,3054.815565192385,0.07395815849304199
data/burma14.tsp,3,4.2,9.0,0.31,0.34,9,2921.6372843855597,0.05396556854248047
data/burma14.tsp,4,6.7,2.4,0.46,0.84,8,2925.573023609756,0.04797244071960449
data/burma14.tsp,5,1.0,5.2,0.17,0.68,7,3016.6182628516135,0.06896066665649414
data/burma14.tsp,2,8.3,6.4,0.44,0.38,6,2967.9352866955687,0.01699066162109375
data/burma14.tsp,5,1.4,0.7,0.68,0.2,1,3234.22367890176,0.008994340896606445
data/burma14.tsp,5,7.2,4.8,0.38,0.82,6,2921.6372843855597,0.06096529960632324
data/burma14.tsp,6,4.8,4.3,0.86,0.92,10,2859.272041389352,0.09094786643981934
data/burma14.tsp,3,2.2,6.4,0.55,0.4,9,2967.9352866955687,0.041975975036621094
data/burma14.tsp,5,5.4,1.6,0.49,0.57,3,2933.1590942893113,0.037978410720825195
data/burma14.tsp,8,4.4,7.2,0.7,0.76,7,2921.6372843855597,0.13494348526000977
data/burma14.tsp,3,4.2,5.0,0.23,0.84,10,2967.9352866955687,0.048954010009765625
data/burma14.tsp,4,1.3,8.8,0.82,0.05,3,3054.815565192385,0.02498602867126465
data/burma14.tsp,4,7.5,8.7,0.3,0.95,4,2890.892556619956,0.022986650466918945
data/burma14.tsp,2,1.9,7.1,0.54,0.56,2,3247.3684996499655,0.00699615478515625
data/burma14.tsp,7,1.5,2.8,0.78,0.29,2,2921.6372843855597,0.03098273277282715
data/burma14.tsp,8,3.6,3.3,0.37,0.9,4,2859.272041389352,0.10393714904785156
data/burma14.tsp,3,6.9,7.4,0.49,0.25,1,2921.6372843855597,0.0029981136322021484
data/burma14.tsp,4,7.0,3.7,0.3,0.63,5,2967.9352866955687,0.029983043670654297
data/burma14.tsp,4,8.7,7.4,0.45,0.13,7,3213.106544886957,0.048972129821777344
data/burma14.tsp,3,5.3,6.8,0.77,0.83,7,2890.892556619956,0.033980607986450195
data/burma14.tsp,2,1.2,4.5,0.22,0.25,10,2890.892556619956,0.027983903884887695
data/burma14.tsp,8,4.2,8.7,0.08,0.85,10,2921.6372843855597,0.18489408493041992
data/burma14.tsp,6,6.4,2.9,0.85,0.41,2,3246.0165616019376,0.024985551834106445
data/burma14.tsp,8,9.4,4.9,0.42,0.45,10,2890.892556619956,0.15691041946411133
data/burma14.tsp,5,1.2,4.1,0.65,0.72,4,2921.6372843855597,0.033980607986450195
data/burma14.tsp,6,6.4,7.1,0.27,0.54,8,2890.892556619956,0.10793828964233398
data/burma14.tsp,4,6.5,2.0,0.79,0.95,2,2899.1796626943747,0.021987438201904297
data/burma14.tsp,8,7.1,1.0,0.9,0.95,3,3528.907709898896,0.06996011734008789
data/burma14.tsp,8,2.1,8.7,0.56,0.56,3,2921.6372843855597,0.039977073669433594
data/burma14.tsp,8,7.4,5.9,0.24,0.94,6,2921.6372843855597,0.08994889259338379
data/burma14.tsp,5,0.8,9.0,0.65,0.36,7,2890.892556619956,0.06496262550354004
data/burma14.tsp,7,7.1,6.2,0.81,0.49,2,3247.3684996499655,0.02898383140563965
data/burma14.tsp,5,8.5,6.5,0.52,0.24,7,2921.6372843855597,0.07695555686950684
data/burma14.tsp,5,0.1,5.0,0.14,0.83,3,3234.22367890176,0.024985551834106445
data/burma14.tsp,8,2.5,3.8,0.24,0.71,1,3247.3684996499655,0.011992931365966797
data/burma14.tsp,4,1.2,8.1,0.93,0.89,4,2890.892556619956,0.033980607986450195
data/burma14.tsp,4,6.0,0.6,0.8,0.47,3,2859.272041389352,0.022986888885498047
data/burma14.tsp,2,9.4,8.3,0.84,0.81,6,2967.9352866955687,0.0139923095703125
data/burma14.tsp,5,7.0,1.3,0.13,0.45,5,2967.9352866955687,0.04597353935241699
data/burma14.tsp,6,5.8,4.5,0.31,0.11,10,2890.892556619956,0.12093043327331543
data/burma14.tsp,6,5.7,1.8,0.09,0.49,1,3232.999392362358,0.010994195938110352
data/burma14.tsp,8,8.4,0.9,0.31,0.32,3,2890.892556619956,0.04697275161743164
data/burma14.tsp,4,2.9,7.9,0.7,0.34,10,2921.6372843855597,0.0819549560546875
data/burma14.tsp,5,0.3,2.3,0.74,0.76,2,2967.9352866955687,0.01700901985168457
data/burma14.tsp,8,2.9,8.8,0.9,0.21,3,3213.106544886957,0.034979820251464844
data/burma14.tsp,4,0.6,1.5,0.29,0.85,3,2967.9352866955687,0.017989635467529297
data/burma14.tsp,5,0.9,8.2,0.95,0.87,10,2890.892556619956,0.10991978645324707
data/burma14.tsp,3,3.1,3.8,0.23,0.28,3,3016.6182628516135,0.021987438201904297
data/burma14.tsp,2,0.9,6.6,0.23,0.69,6,2967.9352866955687,0.0239865779876709
data/burma14.tsp,6,7.8,8.5,0.4,0.41,1,3025.3778174171957,0.012992382049560547
data/burma14.tsp,7,5.2,3.3,0.41,0.18,2,2921.6372843855597,0.0319819450378418
data/burma14.tsp,2,6.8,7.1,0.94,0.79,1,3213.106544886957,0.003997325897216797
data/burma14.tsp,7,3.3,2.5,0.83,0.89,4,3160.5603344235046,0.055968284606933594
data/burma14.tsp,4,4.5,2.3,0.13,0.53,9,2921.6372843855597,0.07395768165588379
data/burma14.tsp,6,0.7,0.9,0.9,0.76,9,3016.6182628516135,0.12592434883117676
data/burma14.tsp,3,4.9,1.4,0.21,0.8,4,2921.6372843855597,0.019988298416137695
data/burma14.tsp,8,2.2,2.9,0.72,0.36,7,2967.9352866955687,0.15491151809692383
data/burma14.tsp,2,8.8,0.8,0.61,0.11,5,2967.9352866955687,0.0139923095703125
data/burma14.tsp,8,4.6,3.6,0.43,0.93,9,2921.6372843855597,0.16490554809570312
data/burma14.tsp,6,6.6,3.5,0.28,0.05,5,2890.892556619956,0.046973228454589844
data/burma14.tsp,4,5.1,5.4,0.73,0.6,9,2921.6372843855597,0.06396317481994629
data/burma14.tsp,8,8.1,9.2,0.48,0.2,1,3016.6182628516135,0.019988536834716797
data/burma14.tsp,8,3.8,5.6,0.43,0.11,3,3232.999392362358,0.05596780776977539
data/burma14.tsp,3,2.7,3.0,0.72,0.47,4,3025.3778174171957,0.021987199783325195
data/burma14.tsp,4,0.7,1.5,0.65,0.25,7,3025.3778174171957,0.04697299003601074
data/burma14.tsp,3,2.5,4.4,0.72,0.48,3,2967.9352866955687,0.013992071151733398
data/burma14.tsp,4,3.5,8.5,0.36,0.13,7,2890.892556619956,0.05296969413757324
data/burma14.tsp,6,4.9,6.7,0.32,0.42,2,2967.9352866955687,0.019988298416137695
data/burma14.tsp,7,4.8,4.1,0.83,0.54,5,3016.6182628516135,0.08195304870605469
data/burma14.tsp,8,1.5,3.3,0.91,0.54,1,3247.3684996499655,0.013991832733154297
data/burma14.tsp,4,9.2,0.4,0.44,0.11,10,2890.892556619956,0.06696200370788574
data/burma14.tsp,2,7.7,9.5,0.37,0.09,2,3234.22367890176,0.00499725341796875
data/burma14.tsp,8,8.2,0.3,0.38,0.67,7,2960.624834319124,0.08295249938964844
data/burma14.tsp,5,4.8,5.6,0.95,0.09,10,2890.892556619956,0.10294365882873535
data/burma14.tsp,5,5.4,6.4,0.14,0.71,1,3953.143811739049,0.012992620468139648
data/burma14.tsp,7,3.5,6.7,0.38,0.51,1,3025.3778174171957,0.03597879409790039
data/burma14.tsp,8,7.8,0.7,0.82,0.35,6,3036.5887042231975,0.12293004989624023
data/burma14.tsp,5,1.4,5.3,0.32,0.07,4,2890.892556619956,0.03497934341430664
data/burma14.tsp,7,4.8,5.1,0.94,0.22,2,3213.106544886957,0.06996011734008789
data/burma14.tsp,6,4.3,1.8,0.65,0.81,7,2859.272041389352,0.11593365669250488
data/burma14.tsp,5,3.0,9.0,0.54,0.45,8,3054.815565192385,0.09994292259216309
data/burma14.tsp,4,1.2,4.3,0.84,0.52,8,2890.892556619956,0.07095932960510254
data/burma14.tsp,5,7.5,7.5,0.11,0.66,2,3332.8128808049146,0.019988536834716797
data/burma14.tsp,3,7.7,8.3,0.33,0.05,1,2890.892556619956,0.0049970149993896484
data/burma14.tsp,3,5.0,3.9,0.54,0.81,4,2921.6372843855597,0.01898646354675293
data/burma14.tsp,6,7.1,5.4,0.63,0.36,4,2967.9352866955687,0.05396914482116699
data/burma14.tsp,3,1.2,4.0,0.69,0.33,8,2967.9352866955687,0.035979509353637695
data/burma14.tsp,3,2.5,8.1,0.27,0.52,5,2890.892556619956,0.021987438201904297
data/burma14.tsp,5,1.1,6.1,0.42,0.43,5,3332.8128808049146,0.054969072341918945
data/burma14.tsp,3,6.6,0.9,0.05,0.47,7,2967.9352866955687,0.04099631309509277
data/burma14.tsp,4,1.7,4.2,0.92,0.85,4,2859.272041389352,0.026984453201293945
data/burma14.tsp,4,6.2,7.4,0.85,0.42,1,2933.1590942893113,0.0099945068359375
data/burma14.tsp,8,8.7,5.5,0.13,0.31,9,3016.6182628516135,0.17788052558898926
data/burma14.tsp,7,2.5,4.1,0.62,0.79,4,3232.999392362358,0.06896018981933594
data/burma14.tsp,8,0.2,9.1,0.49,0.19,4,2921.6372843855597,0.07195878028869629
data/burma14.tsp,6,4.1,3.9,0.55,0.48,7,3016.6182628516135,0.08195376396179199
data/burma14.tsp,7,7.7,2.2,0.38,0.55,4,2921.6372843855597,0.06796073913574219
data/burma14.tsp,3,4.1,5.9,0.09,0.7,10,2890.892556619956,0.06296396255493164
data/burma14.tsp,6,0.7,6.5,0.34,0.93,9,2890.892556619956,0.10193896293640137
data/burma14.tsp,4,4.2,3.5,0.55,0.22,1,3954.3652661662663,0.0019986629486083984
data/burma14.tsp,3,9.2,8.4,0.11,0.58,8,2890.892556619956,0.037978172302246094
data/burma14.tsp,8,6.0,5.3,0.28,0.53,9,2967.9352866955687,0.14591646194458008
data/burma14.tsp,5,5.8,1.3,0.19,0.92,8,2890.892556619956,0.07795572280883789
data/burma14.tsp,6,6.4,2.2,0.19,0.28,8,3054.815565192385,0.11093664169311523
data/burma14.tsp,5,8.2,1.8,0.09,0.11,1,2921.6372843855597,0.0059964656829833984
data/burma14.tsp,6,0.6,8.1,0.67,0.34,3,3025.3778174171957,0.029982805252075195
data/burma14.tsp,7,0.9,4.8,0.08,0.53,6,3016.6182628516135,0.09396648406982422
data/burma14.tsp,6,7.9,0.2,0.16,0.72,6,2859.272041389352,0.09592509269714355
data/burma14.tsp,7,7.0,7.8,0.86,0.44,6,2921.6372843855597,0.10496020317077637
data/burma14.tsp,7,4.5,5.9,0.33,0.6,6,2921.6372843855597,0.08495116233825684
data/burma14.tsp,6,2.3,6.3,0.55,0.74,4,2921.6372843855597,0.042975664138793945
data/burma14.tsp,4,3.3,0.2,0.92,0.64,5,2899.1796626943747,0.0439753532409668
data/burma14.tsp,8,0.5,2.5,0.1,0.64,6,3025.3778174171957,0.15391135215759277
data/burma14.tsp,4,3.9,8.0,0.1,0.77,2,3016.6182628516135,0.013974666595458984
data/burma14.tsp,4,0.9,8.8,0.54,0.47,5,2921.6372843855597,0.05498623847961426
data/burma14.tsp,2,9.0,9.0,0.75,0.47,1,3016.6182628516135,0.0019986629486083984
data/burma14.tsp,5,5.6,3.2,0.53,0.55,7,2890.892556619956,0.08693289756774902
data/burma14.tsp,8,2.2,1.5,0.43,0.73,10,2921.6372843855597,0.1839132308959961
data/burma14.tsp,5,2.0,4.3,0.67,0.29,6,2921.6372843855597,0.06795978546142578
data/burma14.tsp,6,2.2,6.0,0.2,0.55,5,2967.9352866955687,0.07195901870727539
data/burma14.tsp,2,4.5,0.2,0.78,0.18,6,3129.117167327304,0.019968509674072266
data/burma14.tsp,4,7.3,0.1,0.14,0.28,8,2890.892556619956,0.04797244071960449
data/burma14.tsp,5,6.2,8.9,0.37,0.37,1,3213.106544886957,0.0059964656829833984
data/burma14.tsp,6,3.7,3.0,0.12,0.76,7,2890.892556619956,0.06896042823791504
data/burma14.tsp,7,0.9,6.3,0.33,0.7,9,2890.892556619956,0.12492895126342773
data/burma14.tsp,7,3.2,0.4,0.71,0.27,1,2890.892556619956,0.012992143630981445
data/burma14.tsp,6,4.7,6.4,0.24,0.46,9,2967.9352866955687,0.12693071365356445
data/burma14.tsp,3,8.2,9.4,0.08,0.59,6,3016.6182628516135,0.03899526596069336
data/burma14.tsp,3,1.7,1.4,0.05,0.05,4,2890.892556619956,0.016989946365356445
data/burma14.tsp,8,7.3,8.0,0.09,0.79,7,2921.6372843855597,0.1928720474243164
data/burma14.tsp,3,7.7,8.6,0.63,0.94,3,2890.892556619956,0.01798725128173828
data/burma14.tsp,2,4.5,7.3,0.44,0.52,7,2890.892556619956,0.0239865779876709
data/burma14.tsp,8,4.1,0.6,0.65,0.43,5,3025.3778174171957,0.07897496223449707
data/burma14.tsp,8,4.5,6.2,0.55,0.05,8,2890.892556619956,0.10394024848937988
data/burma14.tsp,5,1.2,8.7,0.82,0.94,9,2890.892556619956,0.08794951438903809
data/burma14.tsp,5,2.5,9.1,0.21,0.39,9,2921.6372843855597,0.1029212474822998
data/burma14.tsp,7,4.0,6.9,0.19,0.19,4,3213.106544886957,0.05197024345397949
data/burma14.tsp,5,2.4,3.9,0.31,0.64,3,3054.815565192385,0.038977622985839844
data/burma14.tsp,4,9.4,0.6,0.15,0.37,10,2855.5941783356593,0.07395744323730469
data/burma14.tsp,5,5.2,6.5,0.3,0.74,5,2967.9352866955687,0.05596804618835449
data/burma14.tsp,7,1.6,2.7,0.55,0.13,4,3025.3778174171957,0.048972368240356445
data/burma14.tsp,7,8.3,3.4,0.38,0.35,10,3016.6182628516135,0.14991402626037598
data/burma14.tsp,7,0.8,9.1,0.57,0.32,5,2921.6372843855597,0.06296420097351074
data/burma14.tsp,6,5.6,5.4,0.68,0.87,6,3232.999392362358,0.09194731712341309
data/burma14.tsp,6,4.6,5.9,0.42,0.24,1,3332.8128808049146,0.005996227264404297
data/burma14.tsp,8,1.9,2.2,0.06,0.34,9,2890.892556619956,0.19888949394226074
data/burma14.tsp,6,1.2,4.1,0.17,0.13,4,3232.999392362358,0.05496835708618164
data/burma14.tsp,2,7.7,7.3,0.28,0.21,3,2921.6372843855597,0.009994983673095703
data/burma14.tsp,7,9.3,9.0,0.21,0.33,2,3016.6182628516135,0.025985240936279297
data/burma14.tsp,7,3.0,1.3,0.72,0.4,8,3025.3778174171957,0.11695027351379395
data/burma14.tsp,7,7.6,2.7,0.49,0.24,9,2921.6372843855597,0.14489960670471191
data/burma14.tsp,6,8.6,4.8,0.86,0.3,4,2890.892556619956,0.04697275161743164
data/burma14.tsp,7,3.4,4.5,0.75,0.1,1,3213.106544886957,0.01598978042602539
data/burma14.tsp,8,2.7,7.9,0.85,0.31,10,3025.3778174171957,0.23288440704345703
data/burma14.tsp,6,8.4,4.7,0.81,0.72,8,3025.3778174171957,0.08693289756774902
data/burma14.tsp,3,4.9,7.4,0.1,0.1,4,3025.3778174171957,0.01898932456970215
data/burma14.tsp,7,5.6,3.1,0.92,0.87,3,2995.7088527845185,0.06096482276916504
data/burma14.tsp,3,2.5,7.7,0.17,0.32,8,2921.6372843855597,0.055968523025512695
data/burma14.tsp,4,2.4,4.5,0.27,0.28,6,2921.6372843855597,0.0579838752746582
data/burma14.tsp,2,7.2,4.5,0.51,0.45,7,2890.892556619956,0.024969100952148438
data/burma14.tsp,8,6.6,9.1,0.51,0.32,1,2933.1590942893113,0.028982877731323242
data/burma14.tsp,5,3.2,6.7,0.12,0.23,10,2890.892556619956,0.11193585395812988
data/burma14.tsp,4,7.5,6.5,0.18,0.1,6,3025.3778174171957,0.049971580505371094
